Rk,Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards,Player-additional
1,Nikola Jokić,29,DEN,C,29,29,1070,32.1,.651,.219,.309,10.7,27.4,19.4,42.8,2.2,1.4,12.4,30.7,5.3,1.4,6.6,.298,10.2,2.4,12.6,3.9,,jokicni01
2,Shai Gilgeous-Alexander,26,OKC,PG,32,32,1104,30.2,.639,.294,.379,2.6,14.2,8.4,30.3,2.8,3.4,9.9,33.5,4.5,2.5,7.0,.303,8.3,3.3,11.6,3.8,,gilgesh01
3,Giannis Antetokounmpo,30,MIL,PF,25,25,875,31.5,.630,.035,.547,6.4,29.0,18.1,34.7,1.1,3.9,11.5,36.6,3.1,1.4,4.4,.244,6.7,2.5,9.2,2.5,,antetgi01
4,Jayson Tatum,26,BOS,PF,30,30,1090,24.0,.609,.522,.361,1.9,26.5,14.2,24.8,1.7,1.1,10.6,30.7,3.1,1.8,4.9,.217,5.7,1.3,7.0,2.5,,tatumja01
5,Victor Wembanyama,21,SAS,C,28,28,920,25.9,.607,.490,.232,6.0,26.2,16.3,21.2,1.5,10.7,14.0,32.0,1.1,1.9,3.0,.159,4.9,3.3,8.2,2.4,,wembavi01
6,Alperen Sengun,22,HOU,C,33,33,1040,22.9,.548,.097,.322,11.2,24.3,17.7,26.1,2.0,2.7,12.2,25.9,2.1,2.3,4.4,.205,3.8,2.6,6.4,2.2,,sengual01
7,Domantas Sabonis,28,SAC,C,31,31,1103,24.1,.660,.167,.312,12.1,31.6,21.8,26.5,1.1,1.1,15.8,22.4,3.7,1.3,5.1,.220,4.8,0.9,5.6,2.1,,sabondo01
8,Anthony Davis,31,LAL,C,31,31,1077,27.1,.603,.122,.459,8.3,29.0,18.8,17.9,1.8,5.4,9.2,30.0,2.9,1.6,4.5,.201,4.6,1.0,5.6,2.1,,davisan02
9,Karl-Anthony Towns,29,NYK,C,32,32,1096,26.3,.662,.306,.363,10.0,34.7,22.9,15.0,1.2,2.5,12.0,27.4,3.9,1.8,5.7,.250,5.0,0.3,5.4,2.1,,townska01
10,Josh Hart,29,NYK,SG,33,33,1232,17.9,.675,.369,.283,5.6,20.6,13.4,20.1,1.9,1.0,15.5,14.9,3.3,1.6,4.9,.190,2.3,1.5,3.8,1.8,,hartjo01
11,Luka Dončić,25,DAL,PG,22,22,785,24.9,.584,.455,.313,2.3,22.4,12.7,36.1,2.7,1.0,12.4,32.9,1.9,1.3,3.2,.194,5.6,1.2,6.9,1.8,,doncilu01
12,Franz Wagner,23,ORL,SF,25,25,829,22.9,.573,.336,.285,3.1,17.3,9.9,32.4,2.6,1.4,10.3,31.0,1.7,1.5,3.2,.186,4.3,1.8,6.2,1.7,,wagnefr01
13,LeBron James,40,LAL,SF,29,29,1015,21.9,.586,.312,.250,3.0,21.7,12.4,43.4,1.1,1.6,15.9,29.8,1.7,0.8,2.5,.117,4.6,-0.1,4.5,1.7,,jamesle01
14,Jalen Williams,23,OKC,SG,32,32,1035,20.3,.561,.300,.190,3.1,16.1,9.6,25.0,2.6,2.2,10.9,27.6,1.3,2.3,3.6,.169,2.4,1.8,4.3,1.7,,willija06
15,Kyrie Irving,32,DAL,SG,30,30,1068,20.6,.611,.384,.199,3.3,10.4,7.0,21.8,1.6,0.9,10.2,26.6,2.7,1.0,3.7,.166,4.5,-0.4,4.0,1.6,,irvinky01
16,Tyler Herro,25,MIA,SG,31,31,1095,20.1,.625,.548,.232,1.0,16.2,8.7,25.5,1.0,0.3,11.2,27.3,2.4,1.1,3.5,.154,4.7,-0.9,3.9,1.6,,herroty01
17,Stephen Curry,36,GSW,PG,26,26,812,20.5,.603,.625,.209,1.5,14.6,7.8,33.3,1.8,1.6,14.4,28.4,1.5,1.0,2.5,.151,5.6,0.2,5.8,1.6,,curryst01
18,Cameron Johnson,28,BRK,PF,31,31,1006,19.1,.665,.580,.314,2.7,13.1,7.7,16.2,1.4,1.4,9.6,21.9,2.7,0.5,3.3,.156,4.6,-0.4,4.2,1.6,,johnsca02
19,Derrick White,30,BOS,SG,32,32,1093,17.1,.614,.699,.166,3.0,11.6,7.3,19.2,1.4,3.0,11.0,19.4,2.4,1.4,3.9,.169,3.0,0.7,3.7,1.6,,whitede01
20,Payton Pritchard,27,BOS,PG,33,0,944,19.0,.651,.763,.128,5.5,9.2,7.3,17.6,1.7,0.4,8.3,19.7,3.0,1.0,4.0,.206,4.2,0.0,4.2,1.5,,pritcpa01
21,Jalen Brunson,28,NYK,PG,33,33,1152,22.1,.609,.352,.381,1.5,8.0,4.9,33.2,1.1,0.2,10.4,29.0,4.1,0.7,4.8,.201,4.9,-1.8,3.1,1.5,,brunsja01
22,Donovan Mitchell,28,CLE,SG,32,32,1009,21.2,.592,.514,.206,1.9,13.6,7.9,21.8,2.3,0.7,9.5,30.1,2.1,1.4,3.5,.165,3.7,-0.1,3.6,1.4,,mitchdo01
23,Darius Garland,25,CLE,PG,32,32,961,21.5,.628,.459,.207,1.9,7.3,4.7,32.4,1.8,0.8,12.7,26.8,3.0,1.0,4.0,.201,4.6,-0.7,3.9,1.4,,garlada01
24,LaMelo Ball,23,CHO,PG,22,22,742,22.1,.557,.529,.226,2.7,14.7,8.5,45.6,1.9,0.7,13.1,39.1,1.1,0.6,1.7,.110,6.0,-0.4,5.7,1.4,,ballla01
25,Nikola Vučević,34,CHI,C,33,33,1062,21.6,.650,.328,.146,7.1,25.6,16.4,16.3,1.1,1.8,9.5,22.4,2.7,0.9,3.7,.167,3.6,-0.3,3.3,1.4,,vucevni01
26,Tyrese Haliburton,24,IND,PG,34,34,1199,18.5,.573,.592,.227,2.3,9.3,5.9,34.5,1.6,1.6,10.8,21.2,2.9,0.5,3.4,.136,3.8,-1.2,2.6,1.4,,halibty01
27,James Harden,35,LAC,PG,32,32,1085,18.7,.572,.515,.464,1.9,18.3,10.1,35.6,2.1,1.8,20.0,30.4,0.8,1.7,2.5,.111,2.5,0.6,3.1,1.4,,hardeja01
28,Evan Mobley,23,CLE,PF,31,31,937,22.3,.648,.205,.321,7.8,23.5,15.9,13.5,1.6,4.4,13.4,23.4,2.3,1.7,4.0,.204,2.4,1.4,3.8,1.4,,mobleev01
29,Jarrett Allen,26,CLE,C,33,33,965,21.7,.717,.004,.414,8.9,28.4,18.9,8.5,1.7,2.7,10.3,15.6,3.1,1.8,4.9,.244,2.6,1.0,3.6,1.4,,allenja01
30,Damian Lillard,34,MIL,PG,24,24,871,21.8,.613,.531,.393,1.9,11.4,6.8,32.7,1.5,0.4,12.4,28.3,2.6,0.8,3.3,.184,4.7,-0.8,3.9,1.3,,lillada01
31,Anthony Edwards,23,MIN,SG,32,32,1154,17.7,.574,.489,.192,2.1,15.3,8.8,19.1,1.7,1.6,12.4,29.8,0.7,1.6,2.4,.099,2.6,-0.1,2.5,1.3,,edwaran01
32,De'Aaron Fox,27,SAC,PG,34,34,1265,20.7,.586,.310,.297,3.3,11.8,7.5,27.3,2.1,0.9,12.8,30.2,2.3,1.1,3.4,.128,2.9,-0.9,2.0,1.3,,foxde01
33,Jimmy Butler,35,MIA,PF,21,21,651,24.3,.648,.133,.659,8.7,11.4,10.0,24.5,1.9,1.2,8.2,21.4,2.8,0.7,3.5,.260,5.0,0.8,5.7,1.2,,butleji01
34,Jaren Jackson Jr.,25,MEM,C,32,32,912,21.2,.598,.326,.355,5.3,16.7,11.2,9.8,2.3,5.4,10.6,28.7,1.5,1.8,3.3,.176,1.8,1.6,3.3,1.2,,jacksja02
35,Cade Cunningham,23,DET,PG,29,29,1040,19.1,.546,.332,.224,3.2,17.8,10.5,44.5,1.1,2.3,17.0,31.3,1.1,0.9,1.9,.090,3.2,-0.5,2.7,1.2,,cunnica01
36,Santi Aldama,24,MEM,PF,31,11,797,18.2,.611,.447,.138,6.4,22.6,14.7,15.6,1.6,1.9,10.3,18.2,1.6,1.4,3.0,.182,2.8,1.3,4.1,1.2,,aldamsa01
37,Norman Powell,31,LAC,SG,26,26,867,19.8,.635,.481,.253,1.0,10.2,5.6,12.9,1.9,0.6,9.8,27.4,1.8,1.0,2.8,.157,3.8,-0.3,3.5,1.2,,powelno01
38,Jalen Johnson,23,ATL,SF,31,31,1130,18.2,.581,.270,.231,5.2,25.1,15.0,22.2,2.0,2.8,15.1,22.4,1.2,1.4,2.5,.108,1.0,1.2,2.2,1.2,,johnsja05
39,Tyrese Maxey,24,PHI,PG,25,25,935,19.4,.548,.450,.268,0.6,10.8,5.5,26.1,2.8,1.1,8.9,30.5,1.1,1.0,2.1,.109,2.8,-0.1,2.7,1.1,,maxeyty01
40,Amen Thompson,22,HOU,SF,32,5,891,17.4,.609,.158,.406,9.1,17.6,13.3,11.5,1.9,3.5,15.8,17.2,1.3,1.8,3.2,.170,0.5,2.2,2.7,1.0,,thompam01
41,Goga Bitadze,25,ORL,C,30,27,740,20.8,.669,.072,.320,13.4,26.5,19.7,14.5,1.8,6.3,17.2,15.7,1.7,1.7,3.3,.215,0.7,2.9,3.5,1.0,,bitadgo01
42,Pascal Siakam,30,IND,PF,34,34,1146,19.0,.617,.312,.259,5.4,18.3,12.0,15.2,1.3,0.8,7.9,22.5,2.7,0.7,3.4,.142,2.5,-0.9,1.6,1.0,,siakapa01
43,Fred VanVleet,30,HOU,PG,31,31,1096,14.0,.497,.561,.177,2.3,11.3,6.8,24.1,2.2,1.3,9.1,19.4,1.2,1.9,3.1,.135,0.2,1.5,1.7,1.0,,vanvlfr01
44,Tari Eason,23,HOU,PF,24,0,546,20.1,.557,.330,.222,9.6,19.4,14.4,6.9,4.1,4.0,7.6,19.8,0.9,1.5,2.4,.209,1.5,3.8,5.3,1.0,,easonta01
45,Kevin Durant,36,PHO,PF,22,22,793,21.8,.626,.307,.362,1.6,18.4,10.1,19.0,1.1,3.4,13.0,31.1,1.3,0.6,1.8,.110,3.5,-0.6,2.9,1.0,,duranke01
46,Ivica Zubac,27,LAC,C,33,33,1069,20.3,.608,.000,.259,13.6,29.4,21.5,12.6,1.1,3.3,12.8,18.9,2.1,1.8,3.9,.174,1.2,0.3,1.5,1.0,,zubaciv01
47,Dereck Lively II,20,DAL,C,26,19,624,20.3,.701,.000,.448,14.0,20.5,17.4,14.9,1.3,6.2,16.6,13.2,1.9,1.0,2.9,.221,1.5,2.5,4.0,0.9,,livelde01
48,Chris Paul,39,SAS,PG,33,33,951,16.5,.582,.641,.204,2.0,13.7,7.9,39.7,2.6,0.6,17.8,14.7,2.1,1.1,3.2,.161,0.7,1.0,1.8,0.9,,paulch01
49,Daniel Gafford,26,DAL,C,33,15,680,24.5,.726,.000,.449,13.2,18.9,16.1,8.7,1.1,6.1,12.1,19.3,2.5,1.0,3.5,.249,2.4,0.9,3.3,0.9,,gaffoda01
50,Moritz Wagner,27,ORL,C,30,1,564,22.4,.649,.301,.442,7.9,23.5,15.3,13.7,2.1,2.1,14.1,26.6,1.1,1.1,2.2,.189,2.9,1.4,4.3,0.9,,wagnemo01
51,Bam Adebayo,27,MIA,C,31,31,1078,17.6,.525,.193,.311,7.6,23.5,15.6,22.0,2.1,2.3,12.3,22.5,1.0,1.8,2.7,.122,0.0,1.2,1.2,0.9,,adebaba01
52,Julius Randle,30,MIN,PF,32,32,1055,17.8,.595,.338,.389,6.6,16.8,11.8,21.9,1.0,0.6,15.0,26.2,1.7,1.3,3.0,.137,1.6,-0.4,1.3,0.9,,randlju01
53,Ja Morant,25,MEM,PG,20,20,553,21.0,.573,.307,.415,2.5,13.7,8.3,41.9,1.8,1.3,17.0,31.9,1.0,0.8,1.8,.159,4.1,0.0,4.1,0.9,,moranja01
54,Caris LeVert,30,CLE,SF,27,0,643,17.4,.640,.484,.312,2.3,9.8,6.1,20.7,1.9,1.8,12.8,18.8,1.5,0.8,2.3,.171,2.3,0.9,3.2,0.9,,leverca01
55,Devin Booker,28,PHO,SG,27,27,981,20.3,.578,.423,.394,3.6,7.6,5.6,29.1,1.5,0.9,9.7,28.7,2.6,0.3,2.9,.140,3.4,-2.0,1.4,0.8,,bookede01
56,Desmond Bane,26,MEM,SG,26,25,742,16.5,.580,.452,.193,3.2,18.0,10.8,23.6,1.8,1.5,13.9,22.6,1.1,1.2,2.3,.146,1.2,1.2,2.4,0.8,,banede01
57,Ty Jerome,27,CLE,SG,32,2,562,20.5,.623,.445,.202,4.0,9.3,6.7,26.9,3.1,0.2,12.2,22.6,1.7,0.8,2.4,.209,2.6,1.2,3.7,0.8,,jeromty01
58,Scottie Barnes,23,TOR,PF,21,21,716,18.1,.553,.345,.278,5.4,21.3,13.3,31.0,2.0,1.9,17.1,27.1,0.4,0.6,1.0,.064,2.3,0.2,2.5,0.8,,barnesc01
59,Trayce Jackson-Davis,24,GSW,C,31,24,579,20.6,.621,.005,.280,11.4,21.4,16.3,17.4,0.9,4.6,10.7,17.4,1.5,0.9,2.3,.192,1.8,1.5,3.3,0.8,,jackstr02
60,Andrew Wiggins,29,GSW,SF,28,28,815,16.6,.569,.416,.271,5.4,10.2,7.7,12.2,1.4,2.8,7.5,22.3,1.3,0.9,2.2,.130,1.9,-0.2,1.6,0.8,,wiggian01
61,Tyus Jones,28,PHO,PG,32,32,1003,16.2,.623,.540,.090,2.0,7.2,4.7,29.7,1.6,0.5,11.3,16.0,2.5,0.3,2.7,.131,2.2,-1.2,1.0,0.7,,jonesty01
62,Jalen Suggs,23,ORL,PG,33,33,973,14.8,.539,.498,.230,2.6,14.4,8.2,21.6,2.5,3.3,16.0,27.2,-0.3,1.8,1.5,.073,-0.3,1.4,1.0,0.7,,suggsja01
63,Trae Young,26,ATL,PG,32,32,1145,18.3,.561,.505,.404,1.7,9.3,5.4,47.9,1.7,0.5,18.4,27.5,2.0,0.6,2.6,.110,2.9,-2.3,0.6,0.7,,youngtr01
64,Obi Toppin,26,IND,PF,31,0,610,19.0,.657,.476,.178,4.0,18.6,11.5,13.0,1.9,1.8,7.6,18.7,1.5,0.5,2.0,.155,2.6,0.1,2.7,0.7,,toppiob01
65,Walker Kessler,23,UTA,C,26,26,774,19.7,.694,.025,.399,14.8,25.6,20.3,8.9,0.9,8.4,16.9,12.5,1.7,0.6,2.3,.144,0.7,0.8,1.6,0.7,,kesslwa01
66,Isaiah Hartenstein,26,OKC,C,17,16,512,19.8,.600,.044,.316,10.1,33.0,21.6,17.6,1.3,4.2,14.3,17.5,1.0,1.4,2.4,.224,0.6,2.7,3.3,0.7,,harteis01
67,Jonas Valančiūnas,32,WAS,C,31,7,620,22.4,.610,.070,.253,12.0,29.6,20.8,20.2,1.3,3.5,15.3,24.0,1.1,0.6,1.7,.131,2.2,0.2,2.4,0.7,,valanjo01
68,Royce O'Neale,31,PHO,SF,31,9,817,14.5,.608,.689,.082,4.3,19.0,11.8,13.0,1.8,2.2,10.4,16.0,1.1,0.7,1.8,.104,1.1,0.2,1.2,0.7,,onealro01
69,Jay Huff,26,MEM,C,30,1,459,18.3,.671,.640,.228,4.2,13.6,9.0,7.2,0.8,6.5,8.8,19.6,1.1,0.7,1.8,.187,2.7,1.0,3.7,0.7,,huffja01
70,Brook Lopez,36,MIL,C,31,31,1004,14.0,.604,.530,.137,4.1,12.0,8.2,7.0,1.3,5.6,9.4,15.3,1.1,1.3,2.3,.111,-0.2,0.8,0.6,0.6,,lopezbr01
71,Michael Porter Jr.,26,DEN,SF,32,32,1091,16.6,.628,.448,.188,5.3,15.3,10.5,10.8,1.0,1.0,8.8,20.2,2.1,0.6,2.7,.121,2.0,-1.7,0.3,0.6,,portemi01
72,Jake LaRavia,23,MEM,PF,33,0,729,13.6,.603,.371,.351,7.3,13.7,10.6,18.0,1.8,2.2,19.7,15.1,0.9,1.1,2.1,.135,-0.2,1.5,1.4,0.6,,laravja01
73,De'Andre Hunter,27,ATL,SF,23,2,641,19.5,.658,.455,.383,2.5,13.4,7.9,7.7,1.5,0.4,7.9,24.7,1.7,0.4,2.1,.156,3.1,-1.2,1.9,0.6,,huntede01
74,Josh Giddey,22,CHI,PG,30,30,818,16.0,.534,.379,.227,5.5,20.7,13.2,34.7,1.6,1.5,19.4,21.5,0.6,0.7,1.3,.076,0.7,0.3,1.0,0.6,,giddejo01
75,Jaylen Brown,28,BOS,SF,28,28,990,19.0,.557,.360,.290,4.7,13.7,9.2,21.2,1.9,0.7,11.2,30.0,1.3,1.3,2.6,.126,1.2,-0.8,0.4,0.6,,brownja02
76,John Collins,27,UTA,PF,26,17,780,19.4,.629,.265,.315,8.4,21.9,15.2,13.8,1.8,2.6,15.5,23.3,1.4,0.4,1.8,.111,1.6,-0.5,1.1,0.6,,collijo01
77,Luke Kornet,29,BOS,C,27,3,452,18.1,.646,.000,.520,13.6,18.9,16.2,11.5,1.3,5.5,10.7,9.8,1.4,0.8,2.1,.228,1.2,2.1,3.3,0.6,,kornelu01
78,Zach LaVine,29,CHI,SF,29,29,965,17.2,.637,.469,.236,0.7,13.2,7.0,19.7,1.2,0.7,14.5,25.7,1.2,0.5,1.6,.080,2.0,-1.5,0.5,0.6,,lavinza01
79,Rudy Gobert,32,MIN,C,32,32,1078,15.8,.667,.000,.557,11.5,23.4,17.5,7.3,1.0,4.0,16.1,12.1,2.1,1.8,3.9,.174,-0.9,1.2,0.2,0.6,,goberru01
80,Jordan Poole,25,WAS,SG,27,27,848,16.7,.595,.549,.297,1.2,7.6,4.4,25.4,2.5,1.5,16.5,28.8,0.5,0.3,0.8,.043,1.9,-1.2,0.7,0.6,,poolejo01
81,RJ Barrett,24,TOR,SG,27,27,922,17.3,.552,.303,.337,2.9,18.9,10.9,29.4,0.9,1.1,13.7,29.9,0.7,0.4,1.1,.057,1.8,-1.3,0.5,0.6,,barrerj01
82,Jrue Holiday,34,BOS,PG,27,27,821,14.1,.579,.547,.169,3.9,10.9,7.4,16.9,1.5,1.2,12.0,17.1,1.3,0.9,2.2,.130,0.3,0.5,0.8,0.6,,holidjr01
83,Keon Ellis,25,SAC,SG,32,5,649,13.0,.650,.724,.248,4.1,8.2,6.1,6.8,3.0,4.0,13.9,12.4,0.8,0.8,1.6,.120,-0.2,1.7,1.5,0.6,,elliske01
84,Dyson Daniels,21,ATL,SG,30,30,1004,13.6,.507,.322,.118,5.2,11.2,8.1,14.7,4.3,2.4,12.8,17.7,0.0,1.4,1.4,.065,-2.3,2.5,0.2,0.6,,daniedy01
85,Jakob Poeltl,29,TOR,C,29,28,925,19.1,.613,.006,.299,13.2,24.1,18.6,12.5,1.8,3.9,14.7,18.7,1.6,0.9,2.5,.129,0.2,0.3,0.4,0.6,,poeltja01
86,Lauri Markkanen,27,UTA,PF,27,27,865,17.7,.595,.555,.359,6.4,15.7,11.1,9.6,1.2,0.7,8.3,23.4,2.0,0.0,2.0,.111,2.9,-2.3,0.6,0.6,,markkla01
87,Dean Wade,28,CLE,PF,24,15,539,12.2,.551,.850,.200,4.8,20.4,12.8,7.9,2.1,2.0,4.4,10.9,0.7,0.9,1.6,.140,0.2,1.8,2.0,0.5,,wadede01
88,Mikal Bridges,28,NYK,SF,34,34,1334,14.2,.595,.447,.073,2.7,6.7,4.8,11.8,1.5,1.2,9.2,18.9,1.8,1.0,2.7,.098,0.6,-1.0,-0.4,0.5,,bridgmi01
89,Russell Westbrook,36,DEN,PG,32,11,844,16.2,.538,.350,.334,4.6,13.7,9.3,33.0,3.0,1.8,19.3,22.4,0.6,0.9,1.5,.086,-0.1,0.6,0.5,0.5,,westbru01
90,T.J. McConnell,32,IND,PG,33,0,646,19.8,.575,.081,.125,3.8,11.1,7.5,34.9,2.9,1.3,14.7,24.6,0.9,0.5,1.4,.102,1.3,0.0,1.3,0.5,,mccontj01
91,Malik Beasley,28,DET,SG,33,8,923,14.7,.582,.692,.114,2.3,10.1,6.2,10.2,1.3,0.2,7.3,23.0,1.1,0.5,1.6,.085,2.0,-1.7,0.3,0.5,,beaslma01
92,Cason Wallace,21,OKC,SG,31,19,832,11.1,.493,.482,.055,4.6,8.6,6.6,11.1,3.1,2.8,8.1,11.4,0.5,1.7,2.2,.127,-2.3,2.8,0.5,0.5,,wallaca01
93,Trey Murphy III,24,NOP,SF,21,19,721,17.1,.604,.552,.245,2.5,12.3,7.1,12.4,1.6,1.7,9.1,23.2,1.3,0.1,1.3,.090,2.4,-1.5,0.8,0.5,,murphtr02
94,OG Anunoby,27,NYK,PF,34,34,1239,14.4,.580,.450,.178,4.0,11.5,7.9,7.3,2.0,2.6,8.3,18.7,1.4,1.4,2.8,.110,-0.3,-0.1,-0.4,0.5,,anunoog01
95,Draymond Green,34,GSW,PF,28,26,797,12.0,.533,.538,.305,3.8,19.6,11.4,26.5,1.8,3.6,23.6,15.3,0.2,1.3,1.4,.086,-1.9,2.5,0.5,0.5,,greendr01
96,Chet Holmgren,22,OKC,C,10,10,265,22.6,.619,.333,.441,6.4,27.9,17.2,11.0,1.5,10.1,14.8,25.0,0.4,0.8,1.1,.202,2.1,3.4,5.5,0.5,,holmgch01
97,Al Horford,38,BOS,C,26,23,719,11.8,.561,.722,.061,3.3,17.6,10.4,10.9,1.2,2.7,10.2,13.5,0.7,1.0,1.7,.113,-0.2,1.1,0.8,0.5,,horfoal01
98,Bobby Portis,29,MIL,PF,30,5,763,18.4,.542,.294,.111,8.2,25.8,17.3,14.1,1.5,2.1,8.7,24.5,0.7,1.1,1.8,.112,1.0,-0.4,0.6,0.5,,portibo01
99,Nickeil Alexander-Walker,26,MIN,SG,32,2,745,13.2,.645,.571,.157,2.6,10.6,6.7,15.8,1.8,1.1,16.8,16.4,0.9,0.9,1.8,.116,-0.3,0.9,0.6,0.5,,alexani01
100,Mark Williams,23,CHO,C,10,7,183,30.5,.686,.000,.342,12.5,30.5,21.2,22.1,1.6,5.6,6.4,21.6,0.9,0.3,1.2,.306,6.4,2.4,8.8,0.5,,willima07
101,Larry Nance Jr.,32,ATL,PF,15,2,291,19.9,.733,.532,.085,5.8,18.0,11.8,11.8,2.5,3.6,10.1,15.1,0.8,0.4,1.1,.185,3.6,1.2,4.8,0.5,,nancela02
102,Kenrich Williams,30,OKC,PF,22,0,295,19.7,.695,.505,.103,7.2,18.0,12.6,11.0,2.4,1.4,6.5,15.6,0.9,0.7,1.6,.260,2.5,2.0,4.4,0.5,,willike04
